banks;amenity=bank
scooter_tours;office=travel_agent,travel_agent=tour,specialty=scooter
structure_and_geography;place=yes
skin_care;shop=beauty,beauty=skincare
gemstone_and_mineral;shop=collector,collector=minerals
packing_supply;shop=office_supplies,product=packaging
bus_rentals;
trade_fair;
psychic_medium;
collection_agencies;
youth_organizations;
natural_hot_springs;
food_tours;
handbag_stores;
bedding_and_bath_stores;
agriturismo;
airport_shuttles;amenity=bus_station
festival;amenity=events_venue
fishchbroetchen_restaurant;amenity=fast_food,cuisine=seafood
mosque;amenity=place_of_worship,religion=muslim
emergency_service;
southern_restaurant;amenity=restaurant,cuisine=southern
senior_citizen_services;amenity=social_facility,social_facility=senior_centre
beauty_and_spa;amenity=spa
car_inspector;amenity=vehicle_inspection
temple;building=temple,amenity=place_of_worship
musical_instrument_services;craft=musical_instrument_repair
hypnosis_hypnotherapy;healthcare=alternative,alternative=hypnotherapy
dance_school;leisure=dance,dance:teaching=yes
community_gardens;leisure=garden,garden:type=community
plastic_fabrication_company;man_made=works,product=plastic_parts
international_business_and_trade_services;office=consulting,consulting=international_trade
drywall_services;office=contractor,contractor=drywall
school_district_offices;office=government,government=education
food_beverage_service_distribution;office=logistics,service=food_distribution
medical_service_organizations;office=ngo,ngo=health
pretzels;shop=bakery,product=pretzels
kitchen_and_bath;shop=kitchen
embroidery_and_crochet;shop=sewing
golf_equipment;shop=sports,sport=golf
surf_shop;shop=sports,sport=surfing
outdoor_gear;shop=sports,sports_equipment=outdoor
taxi_rank;
marble_and_granite_professionals;
fish_farms_and_hatcheries;
community_services_non_profits;
importers;
topic_publisher;
travel_services;
boutique;
arts_and_crafts;
fruits_and_vegetables;
sports_and_recreation_rental_and_services;
public_plaza;
women's_health_clinic;amenity=clinic,healthcare:speciality=gynecology
funeral_services_and_cemeteries;amenity=funeral_hall
striptease_dancer;amenity=nightclub,entertainment=striptease
afghan_restaurant;amenity=restaurant,cuisine=afghan
dog_meat_restaurant;amenity=restaurant,cuisine=dog_meat
theatres_and_performance_venues;amenity=theatre,amenity=concert_hall
veterinary_schools;amenity=university,faculty=veterinary
mountain_bike_trails;highway=path,bicycle=yes
cemeteries;landuse=cemetery
marching_band;leisure=club,club=music
inspection_services;office=company,service=inspection
builders;office=construction
debt_relief_services;office=financial,financial=debt_advice
logging_services;office=forestry
government_services;office=government
road_structures_and_services;
dog_walkers;office=pet,service=dog_walking
security_services;office=security
beverage_store;shop=beverages
childrens_clothing_store;shop=clothes,clothes=children
womens_clothing_store;shop=clothes,clothes=women
machine_and_tool_rentals;shop=rental,rental=machines
supernatural_reading;
scientific_laboratories;
adult_entertainment;
steel_fabricators;
astrologer;
cardio_classes;
janitorial_services;
historical_tours;
fitness_exercise_equipment;
paint_your_own_pottery;amenity=community_centre,community_centre=art_studio,craft=pottery
exhibition_and_trade_center;amenity=exhibition_centre
shaved_snow_shop;amenity=ice_cream,ice_cream=shaved_snow
himalayan_nepalese_restaurant;amenity=restaurant,cuisine=nepalese
officiating_services;office=company,service=wedding_officiant
masonry_contractors;office=contractor,contractor=masonry
septic_services;office=contractor,contractor=septic
educational_services;office=education
engineering_services;office=engineering
theatrical_productions;office=entertainment,entertainment=theatre_production
exporters;office=import_export
utility_service;office=utility
water_purification_services;office=utility,utility=water_treatment
auto_restoration_services;shop=car_repair,car_repair=restoration
bathtub_and_sink_repairs;shop=dry_cleaning,dry_cleaning:carpet=yes
ski_and_snowboard_shop;shop=sports,sport=skiing
b2b_medical_support_services;shop=trade,trade=medical_supplies
trophy_shop;shop=trophy
furniture_wholesalers;shop=wholesale,product=furniture
attractions_and_activities;tourism=attraction
aerial_tours;tourism=tours,tours=aerial
atv_rentals_and_tours;tourism=tours,tours=atv,atv:rental=yes
balloon_services;
shipping_collection_services;
board_of_education_offices;
brokers;
chamber_of_handicraft;
editorial_services;
duplication_services;
customized_merchandise;
b2b_energy_mining;
gliderports;aeroway=aerodrome,aerodrome:type=glider
topic_concert_venue;amenity=music_venue
synagogue;amenity=place_of_worship,religion=jewish
social_and_human_services;amenity=social_facility
public_phones;amenity=telephone
theatre;amenity=theatre
farrier_services;craft=farrier
welders;craft=welder
zorbing_center;leisure=sports_centre,sport=zorbing
lighting_fixture_manufacturers;man_made=works,product=lighting
film_festivals_and_organizations;office=association,association=film_festival
plastic_company;office=company,industry=plastic
crane_services;office=contractor,contractor=crane
misting_system_services;office=contractor,contractor=mist_systems
stucco_services;office=contractor,contractor=stucco
human_resource_services;office=hr
television_service_providers;office=telecommunication,service=tv
hat_shop;shop=clothes,clothes=hats
frozen_foods;shop=convenience,product=frozen_food
tabletop_games;shop=games
hydroponic_gardening;shop=garden_centre,garden_centre=hydroponics
souvenir_shop;shop=souvenir
sports_wear;shop=sports
dance_wear;shop=sports,sport=dance
dive_shop;shop=sports,sport=scuba_diving
hot_tubs_and_pools;shop=swimming_pool
gravel_professionals;shop=trade,trade=gravel
trucks_and_industrial_vehicles;shop=trade,trade=trucks
gun_and_ammo;shop=weapons
spas;
boating_places;
blueprinters;
mechanical_engineers;
central_government_office;
music_production_services;
boat_parts_and_accessories;
boat_parts_and_supply_store;
concept_shop;
pet_services;
metal_materials_and_experts;
domestic_airports;aeroway=aerodrome,aerodrome:type=regional
seaplane_bases;aeroway=aerodrome,aerodrome:type=seaplane
drinking_water_dispenser;amenity=drinking_water,fountain=water_dispenser
mortuary_services;amenity=mortuary
buddhist_temple;amenity=place_of_worship,religion=buddhist
cajun_creole_restaurant;amenity=restaurant,cuisine=cajun
food_banks;amenity=social_facility,social_facility=food_bank
self_defense_classes;amenity=training,training=self_defense
wallpaper_installers;office=contractor,contractor=wallpaper
natural_gas_supplier;office=energy_supplier,energy=gas
greenhouses;shop=garden_centre
hunting_and_fishing_supplies;shop=sports,sport=hunting
b2b_farms;
b2b_dairies;shop=trade,trade=dairy
safety_equipment;shop=trade,trade=safety_equipment
service_apartments;tourism=apartment
whale_watching_tours;tourism=attraction,attraction=whale_watching
boat_tours;tourism=tours,tours=boat
christmas_trees;xmas:feature=tree
general_festivals;
yoga_instructor;
public_utility_company;
dumpster_rentals;
light_rail_and_subway_stations;
community_book_boxes;
nursery_and_gardening;
drive_in_theatre;amenity=cinema,drive_in=yes
pet_cemetery_and_crematorium_services;amenity=grave_yard,grave_yard=pet
convents_and_monasteries;amenity=monastery
church_cathedral;amenity=place_of_worship,religion=christian
circus;amenity=theatre,theatre:genre=circus
apiaries_and_beekeepers;craft=beekeeper
piano_services;craft=musical_instrument_repair,instrument=piano
gents_tailor;craft=tailor
music_festivals_and_organizations;office=association,association=music_festival
livestock_dealers;office=company,service=livestock_trading
immigration_assistance_services;office=consulting,consulting=immigration
translating_and_interpreting_services;office=translation
chimney_cake_shop;shop=bakery,product=chimney_cake
craft_shop;shop=craft
knitting_supply;shop=craft,craft=knitting
firework_retailer;shop=fireworks
religious_items;shop=religion
trailer_rentals;shop=rental,rental=trailer
b2b_jewelers;shop=trade,trade=jewelry
b2b_storage_and_warehouses;shop=trade,trade=storage
back_shop;shop=variety_store
ice_cream_and_frozen_yoghurt;
bazaars;
business_schools;
furniture_manufacturers;
manufacturers_agents_and_representatives;
construction_services;
appraisal_services;
irrigation_companies;
instrumentation_engineers;
translation_services;
cosmetic_and_beauty_supplies;
cleaning_services;
bus_service;
tire_repair_shop;amenity=car_repair,car_repair=tyres
diagnostic_services;amenity=clinic,healthcare=speciality=diagnostic
science_schools;amenity=college,subject=science
empanadas;amenity=fast_food,cuisine=empanada
doner_kebab;amenity=fast_food,cuisine=kebab
religious_destination;amenity=place_of_worship
international_restaurant;amenity=restaurant,cuisine=international
public_restrooms;amenity=toilets
warehouses;building=warehouse
glass_blowing;craft=glassblower
ironworkers;craft=metalworker
suicide_prevention_services;healthcare=counselling,counselling=suicide_prevention
health_and_medical;healthcare=yes
mountain_bike_parks;leisure=park,sport=mountain_biking
musical_band_orchestras_and_symphonies;office=association,association=orchestra
geological_services;office=consulting,consulting=geological
metal_detector_services;office=security,security=metal_detection
coin_dealers;shop=collector
dairy_stores;shop=dairy
home_decor;shop=houseware
laundry_services;shop=laundry
massage;shop=massage
party_supply;shop=party
skate_shop;shop=sports,sport=skateboard
video_and_video_game_rentals;shop=video,rental=yes
mountain_huts;tourism=alpine_hut
childrens_museum;tourism=museum,museum=children
bicycle_sharing_location;
bike_sharing;
background_check_services;
typing_services;
architecture;
professional_services;
telephone_services;
rental_services;
sporting_goods;
retail;
major_airports;aeroway=aerodrome,aerodrome:type=international
cremation_services;amenity=crematorium
park_and_rides;amenity=parking,park_ride=yes
persian_iranian_restaurant;amenity=restaurant,cuisine=persian
dinner_theatre;amenity=theatre,theatre:genre=dinner
photography_classes;amenity=training,training=photography
toll_stations;barrier=toll_booth
alcohol_and_drug_treatment_centers;healthcare=rehabilitation,healthcare:speciality=drug_addiction
shredding_services;office=company,service=shredding
forestry_consultants;office=consulting,consulting=forestry
lactation_services;office=consulting,consulting=lactation
environmental_abatement_services;office=environmental
social_security_services;office=government,government=social_security
environmental_conservation_and_ecological_organizations;office=ngo,ngo=environmental
telemarketing_services;office=telecommunication,telecommunication=call_center
mens_clothing_store;shop=clothes,clothes=men
plus_size_clothing;shop=clothes,clothes=plus_size
duty_free_shop;shop=duty_free
sport_equipment_rentals;shop=rental,rental=sports_equipment
hockey_equipment;shop=sports,sport=hockey
art_tours;tourism=tours,tours=art
boxing_club;
frozen_yoghurt_shop;
eat_and_drink;
tasting_classes;
bubble_soccer_field;
active_life;
airlines;
federal_government_offices;
auto_manufacturers_and_distributors;
b2b_oil_and_gas_extraction_and_services;
cinema;amenity=cinema
jazz_and_blues;amenity=nightclub,music=jazz
shinto_shrines;amenity=place_of_worship,religion=shinto
desserts;amenity=restaurant,cuisine=dessert
flatbread_restaurant;amenity=restaurant,cuisine=flatbread
noodles_restaurant;amenity=restaurant,cuisine=noodle
law_schools;amenity=university,faculty=law
nudist_clubs;club=nudism
oil_refiners;industrial=refinery
escape_rooms;leisure=escape_game
barre_classes;leisure=fitness_centre,sport=fitness
adoption_services;office=adoption_agency
health_consultant;office=consulting,consulting=health
business_brokers;office=financial_advisor
genealogists;office=research,research_field=genealogy
vacation_rental_agents;office=travel_agent,travel_agent=vacation_rental
lime_professionals;shop=agrarian,product=lime
automotive_dealer;shop=car
pop_up_shop;shop=general,temporary=yes
bus_tours;tourism=tours,tours=bus
venue_and_event_space;
pigs_trotters_restaurant;
holding_companies;
payroll_services;
importer_and_exporter;
baguettes;
flatbread;
automation_services;
home_and_garden;
b2b_forklift_dealers;
b2b_truck_equipment_parts_and_accessories;
heliports;aeroway=heliport
atms;amenity=atm
bike_rentals;amenity=bicycle_rental
outdoor_movies;amenity=cinema,outdoor=yes
dentistry_schools;amenity=college,subject=dentistry
engineering_schools;amenity=college,subject=engineering
flower_markets;amenity=marketplace,marketplace=flowers
sikh_temple;amenity=place_of_worship,religion=sikh
bagel_restaurant;amenity=restaurant,cuisine=bagel
quarries;landuse=quarry
domestic_business_and_trade_organizations;office=association,association=trade
scavenger_hunts_provider;office=entertainment,entertainment=scavenger_hunt
appellate_practice_lawyers;office=lawyer,lawyer=appellate
paralegal_services;office=legal,legal=paralegal
water_treatment_equipment_and_services;office=utility,utility=water_treatment
bookmakers;shop=bookmaker
auto_parts_and_supply_store;shop=car_parts
home_theatre_systems_stores;shop=electronics,product=home_theater
herb_and_spice_shop;shop=farm,produce=herb
pasta_shop;shop=food,product=pasta
grilling_equipment;shop=houseware,product=grill
holiday_decor;shop=interior_decoration,product=holiday_decor
medical_supply;shop=medical_supply
photography_store_and_services;shop=photo
archery_shop;shop=sports,sport=archery
seal_and_hanko_dealers;shop=stationery,product=stamps
specialty_grocery_store;shop=supermarket,specialty=yes
trains;tourism=attraction,attraction=train_display
health_retreats;tourism=hotel,leisure=spa
bike_tours;tourism=tours,tours=bike
car_rental_agency;
courier_and_delivery_services;
food;
cheese_tasting_classes;
business_management_services;
macarons;
arts_and_entertainment;amenity=arts_centre
amusement_park;tourism=theme_park
carousel;attraction=carousel
haunted_house;tourism=attraction,attraction=haunted_house
aquarium;tourism=aquarium
wildlife_sanctuary;boundary=protected_area,protect_class=4
zoo;tourism=zoo
petting_zoo;tourism=zoo,zoo=petting_zoo
art_gallery;tourism=gallery
sculpture_statue;historic=memorial,memorial=statue
street_art;tourism=artwork,artwork_type=mural
auditorium;
arcade;leisure=amusement_arcade
betting_center;amenity=casino
bingo_hall;amenity=social_club
casino;
lottery_vendor;shop=newsagent,lottery=yes
museum;tourism=museum
art_museum;tourism=museum,museum=art
asian_art_museum;
cartooning_museum;
contemporary_art_museum;
costume_museum;tourism=museum,museum=history,subject=costumes
decorative_arts_museum;tourism=museum,museum=art,art_subject=decorative
design_museum;tourism=museum,museum=design
modern_art_museum;
photography_museum;tourism=museum,museum=photography
textile_museum;tourism=museum,museum=textile
aviation_museum;
history_museum;tourism=museum,museum=history
civilization_museum;
community_museum;
military_museum;tourism=museum,museum=military
national_museum;tourism=museum,museum=national
science_museum;tourism=museum,museum=science
computer_museum;tourism=museum,museum=technology
sports_museum;tourism=museum,museum=sports
state_museum;tourism=museum,museum=regional
strip_club;amenity=stripclub
bar_crawl;
club_crawl;
dance_club;amenity=nightclub
salsa_club;
cabaret;
comedy_club;amenity=theatre,theatre:genre=comedy
music_venue;amenity=theatre,theatre:genre=music
choir;
opera_and_ballet;amenity=theatre,theatre:genre=opera
attraction_farm;tourism=attraction,attraction=farm
country_dance_hall;amenity=nightclub,genre=country_dance
pumpkin_patch;landuse=farmland,produce=pumpkin,seasonal=yes
rodeo;leisure=stadium,sport=rode o
makerspace;amenity=community_centre,community_centre=makerspace
observatory;man_made=observatory
planetarium;amenity=planetarium
virtual_reality_center;amenity=video_arcade
social_club;leisure=club,club=social
country_club;
fraternal_organization;
veterans_organization;office=association,association=veterans
fortune_telling;amenity=fortune_teller
stadium_arena;leisure=stadium
baseball_stadium;leisure=stadium,sport=baseball
basketball_stadium;leisure=stadium,sport=basketball
cricket_ground;leisure=pitch,sport=cricket
football_stadium;leisure=stadium,sport=soccer
hockey_arena;leisure=stadium,sport=hockey
rugby_stadium;leisure=stadium,sport=rugby
soccer_stadium;
tennis_stadium;leisure=stadium,sport=tennis
track_stadium;leisure=stadium,sport=track
military_site;
youth_organization;amenity=community_centre,community_centre:for=children
civic_organization;
charity_organization;office=charity
civic_center;
labor_union;office=union
non_governmental_association;office=ngo
political_organization;office=association,association=political
political_party_office;office=political_party
chambers_of_commerce;
courthouse;amenity=courthouse
embassy;office=diplomatic,diplomatic=embassy
department_of_motor_vehicles;office=government,government=transportation
department_of_social_service;office=government,government=social_services
health_department;office=government,government=health
immigration_and_naturalization_office;office=government,government=immigration
office_of_vital_records;office=government,government=registry
pension_office;
registry_office;office=government,government=registration
tax_office;office=government,government=tax
town_hall;amenity=townhall
unemployment_office;office=government,government=unemployment
government_office;
public_fountain;amenity=fountain
public_plaza;place=square
public_restroom;amenity=toilets,access=yes
fire_station;amenity=fire_station
jail_or_prison;amenity=prison
juvenile_detention_center;amenity=prison,prison=juvenile
police_station;
police_station;amenity=police
electric_utility_provider;
garbage_collection_service;office=waste_management
child_protection_service;
community_center;amenity=community_centre
disability_services_and_support_organization;office=ngo,ngo=disability_support
gay_and_lesbian_services_organization;amenity=community_centre,community_centre=lgbt
homeless_shelter;amenity=social_facility,social_facility=shelter,social_facility:for=homeless
scout_hall;amenity=community_centre,community_centre=youth
social_welfare_center;
volunteer_association;office=ngo,ngo=volunteer
cultural_center;
castle;historic=castle
fort;historic=fort
historic_mission;
historic_tower;man_made=tower
lighthouse;man_made=lighthouse
palace;historic=castle,castle_type=palace
ruin;historic=ruins
memorial_park;leisure=park,park:type=memorial
monument;historic=monument
religious_organization;
education;
campus_building;building=university
student_union;amenity=community_centre,community_centre=student
educational_camp;amenity=camp_site,camp_site=education
after_school_program;
college_counseling;
test_preparation;amenity=school,school=tutoring
tutoring_service;
private_tutor;amenity=school,school=tuition
library;amenity=library
civil_examinations_academy;amenity=training,training=civil_service
adult_education_center;amenity=school,grade=third_level
college_university;amenity=university,isced:level=5
school;amenity=school
charter_school;amenity=school,school:typology=charter
elementary_school;amenity=school,isced:level=1
high_school;amenity=school,isced:level=3
middle_school;amenity=school,isced:level=2
montessori_school;amenity=school,school:method=Montessori
preschool;amenity=school,isced:level=0
private_school;amenity=school,fee=yes
public_school;amenity=school,public=yes
religious_school;amenity=school,religion=yes
waldorf_school;amenity=school,school:method=Waldorf
specialty_school;amenity=school,specialty=yes
art_school;amenity=school,school=art
bartending_school;amenity=school,school=bartending
cheerleading;leisure=fitness_centre,sport=cheerleading
childbirth_education;healthcare=counselling,healthcare:counselling=antenatal
circus_school;amenity=school,school=circus
computer_coaching;amenity=training,training=computer
cooking_school;amenity=school,school=cooking
cosmetology_school;amenity=school,school=cosmetology
drama_school;amenity=school,school=drama
driving_school;amenity=driving_school
dui_school;amenity=school,school=driving
firearm_training;amenity=training,training=firearms
first_aid_class;amenity=training,training=first_aid
flight_school;amenity=flight_school
food_safety_training;amenity=training,training=food_safety
language_school;amenity=language_school
massage_school;amenity=college,subject=massage
medical_school;amenity=university,faculty=medicine
music_school;amenity=music_school
nursing_school;amenity=college,subject=nursing
speech_training;amenity=training,training=speech
sports_school;amenity=school,school=sports
traffic_school;
vocational_and_technical_school;
research_institute;amenity=research_institute
educational_research_institute;amenity=university,research=yes
medical_research_institute;office=laboratory,research=medical
bar;amenity=bar
beach_bar;
beer_bar;amenity=bar,drink:beer=yes
champagne_bar;amenity=bar,drink:sparkling_wine=yes
cigar_bar;amenity=bar,smoking=yes
cocktail_bar;amenity=bar,drink:cocktail=yes
dive_bar;
drive_thru_bar;amenity=bar,drive_through=yes
gay_bar;amenity=bar,lgbtq=primary
hookah_bar;amenity=bar,smoking=hookah
hotel_bar;
piano_bar;amenity=bar,live_music=yes
pub;amenity=pub
irish_pub;amenity=pub,theme=irish
sake_bar;amenity=bar,drink:sake=yes
speakeasy;amenity=bar,access=private
sports_bar;amenity=bar,bar=sports
tiki_bar;amenity=bar,theme=tiki
vermouth_bar;
whiskey_bar;amenity=bar,drink:whisky=yes
wine_bar;amenity=bar,drink:wine=yes
beer_garden;amenity=biergarten
brewery;craft=brewery
cidery;craft=brewery,brewery=cidery
distillery;craft=distillery
lounge;amenity=lounge
airport_lounge;amenity=waiting_room
winery;craft=winery
wine_tasting_room;tourism=winery,tasting=yes
bagel_shop;amenity=cafe,cuisine=bagel
bakery;shop=bakery
bistro;
cafe;amenity=cafe
hong_kong_style_cafe;amenity=cafe,cuisine=hong_kong
internet_cafe;amenity=internet_cafe
candy_store;shop=confectionery
chocolatier;shop=chocolate
indian_sweets_shop;shop=confectionery,confectionery=indian
japanese_confectionery_shop;shop=confectionery,confectionery=japanese
canteen;amenity=fast_food,fast_food=cafeteria
delicatessen;shop=deli
cupcake_shop;
ice_cream_shop;amenity=ice_cream
pie_shop;
shaved_ice_shop;amenity=ice_cream,ice_cream=shaved_ice
diner;amenity=restaurant,cuisine=diner
fast_food_restaurant;amenity=fast_food
fondue_restaurant;amenity=restaurant,cuisine=fondue
food_court;amenity=food_court
food_truck_stand;
food_truck_stand;
friterie;amenity=fast_food,cuisine=fries
gastropub;amenity=pub,food=yes
popcorn_shop;shop=confectionery,confectionery=popcorn
sandwich_shop;amenity=fast_food,cuisine=sandwich
sugar_shack;tourism=attraction,attraction=sugar_shack
tapas_bar;amenity=restaurant,cuisine=tapas
coffee_shop;amenity=cafe,cuisine=coffee_shop
coffee_roastery;
milk_bar;amenity=fast_food,drink:milk=yes
milkshake_bar;amenity=fast_food,drink:milkshake=yes
smoothie_juice_bar;amenity=fast_food,cuisine=juice
tea_room;amenity=cafe,cuisine=tea
restaurant;amenity=restaurant
african_restaurant;amenity=restaurant,cuisine=african
ethiopian_restaurant;amenity=restaurant,cuisine=ethiopian
egyptian_restaurant;amenity=restaurant,cuisine=egyptian
moroccan_restaurant;amenity=restaurant,cuisine=moroccan
south_african_restaurant;amenity=restaurant,cuisine=south_african
nigerian_restaurant;amenity=restaurant,cuisine=nigerian
senegalese_restaurant;amenity=restaurant,cuisine=senegalese
asian_restaurant;amenity=restaurant,cuisine=asian
uzbek_restaurant;amenity=restaurant,cuisine=uzbek
chinese_restaurant;amenity=restaurant,cuisine=chinese
baozi_restaurant;amenity=restaurant,cuisine=baozi
dim_sum_restaurant;amenity=restaurant,cuisine=dim_sum
indo_chinese_restaurant;amenity=restaurant,cuisine=indian,cuisine=chinese
japanese_restaurant;amenity=restaurant,cuisine=japanese
sushi_restaurant;amenity=restaurant,cuisine=sushi
korean_restaurant;amenity=restaurant,cuisine=korean
mongolian_restaurant;amenity=restaurant,cuisine=mongolian
taiwanese_restaurant;amenity=restaurant,cuisine=taiwanese
bangladeshi_restaurant;amenity=restaurant,cuisine=bangladeshi
indian_restaurant;amenity=restaurant,cuisine=indian
pakistani_restaurant;amenity=restaurant,cuisine=pakistani
sri_lankan_restaurant;amenity=restaurant,cuisine=sri_lankan
burmese_restaurant;amenity=restaurant,cuisine=burmese
cambodian_restaurant;amenity=restaurant,cuisine=cambodian
filipino_restaurant;amenity=restaurant,cuisine=filipino
indonesian_restaurant;amenity=restaurant,cuisine=indonesian
