airport;aeroway=aerodrome
dentist;amenity=dentist
cosmetic_dentist;amenity=dentist,healthcare:speciality=cosmetic_dentistry  
dental_hygienist;amenity=dentist,healthcare:speciality=hygiene  
pediatric_dentist;amenity=dentist,healthcare:speciality=pediatric_dentistry  
teeth_whitening;amenity=dentist,service=whitening  
diving_center;amenity=dive_centre  
free_diving_center;amenity=dive_centre,sport=freediving  
doctor;amenity=doctors
concierge_medicine;amenity=doctors  
allergist;amenity=doctors,healthcare:speciality=allergology
anesthesiologist;amenity=doctors,healthcare:speciality=anaesthetics
cardiologist;amenity=doctors,healthcare:speciality=cardiology  
cardiovascular_and_thoracic_surgeon;amenity=doctors,healthcare:speciality=cardiothoracic_surgery  
medical_cannabis_referral;amenity=doctors,healthcare:speciality=medical_cannabis  
podiatry;amenity=doctors,healthcare:speciality=podiatry
psychiatrist;amenity=doctors,healthcare:speciality=psychiatry
boxing_class;amenity=dojo,sport=boxing  
brazilian_jiu_jitsu_club;amenity=dojo,sport=jiu_jitsu  
chinese_martial_arts_club;amenity=dojo,sport=martial_arts,martial_arts:style=chinese  
drinking_water_dispenser;amenity=drinking_water,fountain=water_dispenser
driving_school;amenity=driving_school
employment_agencies;amenity=employment_agency  
nanny_services;amenity=employment_agency,employment_agency=nanny  
festival;amenity=events_venue  
exhibition_and_trade_center;amenity=exhibition_centre  
fast_food_restaurant;amenity=fast_food
donuts;amenity=fast_food,cuisine=donut
empanadas;amenity=fast_food,cuisine=empanada
friterie;amenity=fast_food,cuisine=fries  
smoothie_juice_bar;amenity=fast_food,cuisine=juice
doner_kebab;amenity=fast_food,cuisine=kebab
salad_bar;amenity=fast_food,cuisine=salad
sandwich_shop;amenity=fast_food,cuisine=sandwich
fishchbroetchen_restaurant;amenity=fast_food,cuisine=seafood  
kombucha;amenity=fast_food,drink:kombucha=yes
milk_bar;amenity=fast_food,drink:milk=yes
milkshake_bar;amenity=fast_food,drink:milkshake=yes
canteen;amenity=fast_food,fast_food=cafeteria
ferry_service;amenity=ferry_terminal  
fire_department;amenity=fire_station
flight_school;amenity=flight_school  
food_court;amenity=food_court
fortune_telling_service;amenity=fortune_teller  
fountain;amenity=fountain
gas_station;amenity=fuel
fuel_dock;amenity=fuel,fuel:marine=yes  
truck_gas_station;amenity=fuel,hgv=yes
funeral_services_and_cemeteries;amenity=funeral_hall
pet_cemetery_and_crematorium_services;amenity=grave_yard,grave_yard=pet
hospital;amenity=hospital
emergency_room;amenity=hospital,department=emergency  
emergency_medicine;amenity=hospital,healthcare:speciality=emergency  
cancer_treatment_center;amenity=hospital,healthcare:speciality=oncology  
childrens_hospital;amenity=hospital,healthcare:speciality=paediatrics  
rehabilitation_center;amenity=hospital,hospital:category=rehabilitation  
surgical_center;amenity=hospital,hospital:type=outpatient  
organ_and_tissue_donor_service;amenity=hospital,service=donor  
ice_cream_shop;amenity=ice_cream
shaved_ice_shop;amenity=ice_cream,ice_cream=shaved_ice  
shaved_snow_shop;amenity=ice_cream,ice_cream=shaved_snow  
internet_cafe;amenity=internet_cafe
karaoke;amenity=karaoke_box  
day_care_preschool;amenity=kindergarten  
laboratory;amenity=laboratory  
dental_laboratories;amenity=laboratory,laboratory=dental  
environmental_testing;amenity=laboratory,laboratory=environmental  
laboratory_testing;amenity=laboratory,laboratory=testing  
paternity_tests_and_services;amenity=laboratory,service=paternity_test  
language_school;amenity=language_school
laundromat;amenity=laundry  
library;amenity=library
luggage_storage;amenity=locker  
lounge;amenity=lounge
boat_storage_facility;amenity=marina  
public_market;amenity=marketplace  
flea_market;amenity=marketplace,marketplace=flea_market  
flower_markets;amenity=marketplace,marketplace=flowers  
night_market;amenity=marketplace,opening_hours=night  
holiday_market;
convents_and_monasteries;amenity=monastery  
money_transfer_services;amenity=money_transfer  
mortuary_services;amenity=mortuary
motorcycle_parking;amenity=motorcycle_parking
music_school;amenity=music_school
topic_concert_venue;amenity=music_venue
dance_club;amenity=nightclub
striptease_dancer;amenity=nightclub,entertainment=striptease  
country_dance_hall;amenity=nightclub,genre=country_dance  
jazz_and_blues;amenity=nightclub,music=jazz
skilled_nursing;amenity=nursing_home  
package_locker;amenity=parcel_locker  
parking;amenity=parking
park_and_rides;amenity=parking,park_ride=yes  
rv_storage_facility;amenity=parking,parking=storage,caravan=yes  
rv_and_boat_storage_facility;amenity=parking,parking=storage,caravan=yes,boat=yes  
valet_service;amenity=parking,parking=valet  
pharmacy;amenity=pharmacy
religious_destination;amenity=place_of_worship
buddhist_temple;amenity=place_of_worship,religion=buddhist
church_cathedral;amenity=place_of_worship,religion=christian
anglican_church;amenity=place_of_worship,religion=christian,denomination=anglican
baptist_church;amenity=place_of_worship,religion=christian,denomination=baptist
catholic_church;amenity=place_of_worship,religion=christian,denomination=catholic
episcopal_church;amenity=place_of_worship,religion=christian,denomination=episcopal
evangelical_church;amenity=place_of_worship,religion=christian,denomination=evangelical
jehovahs_witness_kingdom_hall;amenity=place_of_worship,religion=christian,denomination=jehovahs_witness  
pentecostal_church;amenity=place_of_worship,religion=christian,denomination=pentecostal
wedding_chapel;amenity=place_of_worship,religion=christian,service=wedding  
hindu_temple;amenity=place_of_worship,religion=hindu
synagogue;amenity=place_of_worship,religion=jewish
mosque;amenity=place_of_worship,religion=muslim
shinto_shrines;amenity=place_of_worship,religion=shinto
sikh_temple;amenity=place_of_worship,religion=sikh
planetarium;amenity=planetarium
police_department;amenity=police
emergency_service;
post_office;amenity=post_office
mailbox_center;amenity=post_office,post_office:type=contract  
jail_and_prison;amenity=prison
juvenile_detention_center;amenity=prison,prison=juvenile  
pub;amenity=pub
gastropub;amenity=pub,food=yes
irish_pub;amenity=pub,theme=irish
public_bath_houses;amenity=public_bath  
recycling_center;amenity=recycling,recycling_type=centre
donation_center;amenity=recycling,recycling_type=donation  
audiovisual_equipment_rental;amenity=rental
research_institute;amenity=research_institute
rest_stop;amenity=rest_area  
restaurant;amenity=restaurant
bar_and_grill_restaurant;amenity=restaurant,bar=yes
afghan_restaurant;amenity=restaurant,cuisine=afghan
african_restaurant;amenity=restaurant,cuisine=african
american_restaurant;amenity=restaurant,cuisine=american
arabian_restaurant;amenity=restaurant,cuisine=arab
argentine_restaurant;amenity=restaurant,cuisine=argentinian
armenian_restaurant;amenity=restaurant,cuisine=armenian
asian_restaurant;amenity=restaurant,cuisine=asian
oriental_restaurant;
pan_asian_restaurant;
australian_restaurant;amenity=restaurant,cuisine=australian
austrian_restaurant;amenity=restaurant,cuisine=austrian
schnitzel_restaurant;amenity=restaurant,cuisine=austrian  
azerbaijani_restaurant;amenity=restaurant,cuisine=azerbaijani
bagel_restaurant;amenity=restaurant,cuisine=bagel
bangladeshi_restaurant;amenity=restaurant,cuisine=bangladeshi
baozi_restaurant;amenity=restaurant,cuisine=baozi
barbecue_restaurant;amenity=restaurant,cuisine=barbecue
smokehouse;amenity=restaurant,cuisine=barbecue  
basque_restaurant;amenity=restaurant,cuisine=basque
belarusian_restaurant;amenity=restaurant,cuisine=belarusian
belgian_restaurant;amenity=restaurant,cuisine=belgian
belizean_restaurant;amenity=restaurant,cuisine=belizean
bolivian_restaurant;amenity=restaurant,cuisine=bolivian
brazilian_restaurant;amenity=restaurant,cuisine=brazilian
breakfast_and_brunch_restaurant;amenity=restaurant,cuisine=breakfast
british_restaurant;amenity=restaurant,cuisine=british
buffet_restaurant;amenity=restaurant,cuisine=buffet
bulgarian_restaurant;amenity=restaurant,cuisine=bulgarian
burger_restaurant;amenity=restaurant,cuisine=burger
burmese_restaurant;amenity=restaurant,cuisine=burmese
cajun_creole_restaurant;amenity=restaurant,cuisine=cajun
cambodian_restaurant;amenity=restaurant,cuisine=cambodian
canadian_restaurant;amenity=restaurant,cuisine=canadian
caribbean_restaurant;amenity=restaurant,cuisine=caribbean
catalan_restaurant;amenity=restaurant,cuisine=catalan
cheesesteak_restaurant;amenity=restaurant,cuisine=cheesesteak
chicken_restaurant;amenity=restaurant,cuisine=chicken
chilean_restaurant;amenity=restaurant,cuisine=chilean
chinese_restaurant;amenity=restaurant,cuisine=chinese
colombian_restaurant;amenity=restaurant,cuisine=colombian
comfort_food_restaurant;amenity=restaurant,cuisine=comfort_food
costa_rican_restaurant;amenity=restaurant,cuisine=costa_rican
serbo_croation_restaurant;amenity=restaurant,cuisine=croatian
cuban_restaurant;amenity=restaurant,cuisine=cuban
curry_sausage_restaurant;amenity=restaurant,cuisine=currywurst
czech_restaurant;amenity=restaurant,cuisine=czech
danish_restaurant;amenity=restaurant,cuisine=danish
desserts;amenity=restaurant,cuisine=dessert  
dim_sum_restaurant;amenity=restaurant,cuisine=dim_sum
diner;amenity=restaurant,cuisine=diner  
dog_meat_restaurant;amenity=restaurant,cuisine=dog_meat
dominican_restaurant;amenity=restaurant,cuisine=dominican
dumpling_restaurant;amenity=restaurant,cuisine=dumplings
eastern_european_restaurant;amenity=restaurant,cuisine=eastern_european
ecuadorian_restaurant;amenity=restaurant,cuisine=ecuadorian
egyptian_restaurant;amenity=restaurant,cuisine=egyptian
ethiopian_restaurant;amenity=restaurant,cuisine=ethiopian
european_restaurant;amenity=restaurant,cuisine=european
falafel_restaurant;amenity=restaurant,cuisine=falafel
filipino_restaurant;amenity=restaurant,cuisine=filipino
fish_restaurant;amenity=restaurant,cuisine=fish
fish_and_chips_restaurant;amenity=restaurant,cuisine=fish_and_chips
flatbread_restaurant;amenity=restaurant,cuisine=flatbread  
fondue_restaurant;amenity=restaurant,cuisine=fondue
french_restaurant;amenity=restaurant,cuisine=french
asian_fusion_restaurant;amenity=restaurant,cuisine=fusion
georgian_restaurant;amenity=restaurant,cuisine=georgian
german_restaurant;amenity=restaurant,cuisine=german
greek_restaurant;amenity=restaurant,cuisine=greek
guamanian_restaurant;amenity=restaurant,cuisine=guamanian
guatemalan_restaurant;amenity=restaurant,cuisine=guatemalan
haitian_restaurant;amenity=restaurant,cuisine=haitian
haute_cuisine_restaurant;amenity=restaurant,cuisine=haute_cuisine
hawaiian_restaurant;amenity=restaurant,cuisine=hawaiian
health_food_restaurant;amenity=restaurant,cuisine=health_food
honduran_restaurant;amenity=restaurant,cuisine=honduran
hot_dog_restaurant;amenity=restaurant,cuisine=hot_dog
hungarian_restaurant;amenity=restaurant,cuisine=hungarian
iberian_restaurant;amenity=restaurant,cuisine=iberian
indian_restaurant;amenity=restaurant,cuisine=indian
indo_chinese_restaurant;amenity=restaurant,cuisine=indian,cuisine=chinese
indonesian_restaurant;amenity=restaurant,cuisine=indonesian
international_restaurant;amenity=restaurant,cuisine=international
irish_restaurant;amenity=restaurant,cuisine=irish
israeli_restaurant;amenity=restaurant,cuisine=israeli
italian_restaurant;amenity=restaurant,cuisine=italian
jamaican_restaurant;amenity=restaurant,cuisine=jamaican
japanese_restaurant;amenity=restaurant,cuisine=japanese
jewish_restaurant;amenity=restaurant,cuisine=jewish
kofta_restaurant;amenity=restaurant,cuisine=kofta
korean_restaurant;amenity=restaurant,cuisine=korean
kurdish_restaurant;amenity=restaurant,cuisine=kurdish
laotian_restaurant;amenity=restaurant,cuisine=laotian
latin_american_restaurant;amenity=restaurant,cuisine=latin_american
lebanese_restaurant;amenity=restaurant,cuisine=lebanese
malaysian_restaurant;amenity=restaurant,cuisine=malaysian
meat_restaurant;amenity=restaurant,cuisine=meat
meatball_restaurant;amenity=restaurant,cuisine=meatballs  
mediterranean_restaurant;amenity=restaurant,cuisine=mediterranean
mexican_restaurant;amenity=restaurant,cuisine=mexican
middle_eastern_restaurant;amenity=restaurant,cuisine=middle_eastern
molecular_gastronomy_restaurant;amenity=restaurant,cuisine=molecular_gastronomy
mongolian_restaurant;amenity=restaurant,cuisine=mongolian
moroccan_restaurant;amenity=restaurant,cuisine=moroccan
himalayan_nepalese_restaurant;amenity=restaurant,cuisine=nepalese
nicaraguan_restaurant;amenity=restaurant,cuisine=nicaraguan
nigerian_restaurant;amenity=restaurant,cuisine=nigerian
noodles_restaurant;amenity=restaurant,cuisine=noodle
norwegian_restaurant;amenity=restaurant,cuisine=norwegian
pakistani_restaurant;amenity=restaurant,cuisine=pakistani
panamanian_restaurant;amenity=restaurant,cuisine=panamanian
pancake_house;amenity=restaurant,cuisine=pancakes  
paraguayan_restaurant;amenity=restaurant,cuisine=paraguayan
persian_iranian_restaurant;amenity=restaurant,cuisine=persian
peruvian_restaurant;amenity=restaurant,cuisine=peruvian
piadina_restaurant;amenity=restaurant,cuisine=piadina
pizza_restaurant;amenity=restaurant,cuisine=pizza
pizza_delivery_service;amenity=restaurant,cuisine=pizza,delivery=only  
poke;amenity=restaurant,cuisine=poke
polish_restaurant;amenity=restaurant,cuisine=polish
polynesian_restaurant;amenity=restaurant,cuisine=polynesian
portuguese_restaurant;amenity=restaurant,cuisine=portuguese
potato_restaurant;amenity=restaurant,cuisine=potato
poutinerie_restaurant;amenity=restaurant,cuisine=poutine
puerto_rican_restaurant;amenity=restaurant,cuisine=puerto_rican
romanian_restaurant;amenity=restaurant,cuisine=romanian
russian_restaurant;amenity=restaurant,cuisine=russian
salvadoran_restaurant;amenity=restaurant,cuisine=salvadoran
scandinavian_restaurant;amenity=restaurant,cuisine=scandinavian
scottish_restaurant;amenity=restaurant,cuisine=scottish
seafood_restaurant;amenity=restaurant,cuisine=seafood
diy_foods_restaurant;amenity=restaurant,cuisine=self_cook  
senegalese_restaurant;amenity=restaurant,cuisine=senegalese
singaporean_restaurant;amenity=restaurant,cuisine=singaporean
slovakian_restaurant;amenity=restaurant,cuisine=slovakian
soul_food;amenity=restaurant,cuisine=soul_food  
soup_restaurant;amenity=restaurant,cuisine=soup
south_african_restaurant;amenity=restaurant,cuisine=south_african
southern_restaurant;amenity=restaurant,cuisine=southern
spanish_restaurant;amenity=restaurant,cuisine=spanish
sri_lankan_restaurant;amenity=restaurant,cuisine=sri_lankan
steakhouse;amenity=restaurant,cuisine=steak_house
sushi_restaurant;amenity=restaurant,cuisine=sushi
swiss_restaurant;amenity=restaurant,cuisine=swiss
syrian_restaurant;amenity=restaurant,cuisine=syrian
taiwanese_restaurant;amenity=restaurant,cuisine=taiwanese
tapas_bar;amenity=restaurant,cuisine=tapas
tatar_restaurant;amenity=restaurant,cuisine=tatar
texmex_restaurant;amenity=restaurant,cuisine=tex-mex
thai_restaurant;amenity=restaurant,cuisine=thai
trinidadian_restaurant;amenity=restaurant,cuisine=trinidadian
turkish_restaurant;amenity=restaurant,cuisine=turkish
ukrainian_restaurant;amenity=restaurant,cuisine=ukrainian
uruguayan_restaurant;amenity=restaurant,cuisine=uruguayan
uzbek_restaurant;amenity=restaurant,cuisine=uzbek
venezuelan_restaurant;amenity=restaurant,cuisine=venezuelan
vietnamese_restaurant;amenity=restaurant,cuisine=vietnamese
waffle_restaurant;amenity=restaurant,cuisine=waffles  
wild_game_meats_restaurant;amenity=restaurant,cuisine=wild_game  
wrap_restaurant;amenity=restaurant,cuisine=wraps  
food_delivery_service;amenity=restaurant,delivery=yes,takeaway=no  
gluten_free_restaurant;amenity=restaurant,diet:gluten_free=only
halal_restaurant;amenity=restaurant,diet:halal=only
kosher_restaurant;amenity=restaurant,diet:kosher=only
live_and_raw_food_restaurant;amenity=restaurant,diet:raw=only
vegan_restaurant;amenity=restaurant,diet:vegan=only,diet:vegetarian=yes
vegetarian_restaurant;amenity=restaurant,diet:vegetarian=only,diet:vegan=yes
eatertainment;amenity=restaurant,entertainment=yes  
theme_restaurant;amenity=restaurant,theme=yes  
school;amenity=school
private_school;amenity=school,fee=yes  
adult_education;amenity=school,grade=third_level
preschool;amenity=school,isced:level=0
elementary_school;amenity=school,isced:level=1
middle_school;amenity=school,isced:level=2
high_school;amenity=school,isced:level=3
public_school;amenity=school,public=yes  
religious_school;amenity=school,religion=yes  
montessori_school;amenity=school,school:method=Montessori  
waldorf_school;amenity=school,school:method=Waldorf  
charter_school;amenity=school,school:typology=charter  
art_school;amenity=school,school=art
bartending_school;amenity=school,school=bartending
circus_school;amenity=school,school=circus
cooking_school;amenity=school,school=cooking
cosmetology_school;amenity=school,school=cosmetology
drama_school;amenity=school,school=drama
dui_school;amenity=school,school=driving  
sports_school;amenity=school,school=sports  
private_tutor;amenity=school,school=tuition  
test_preparation;amenity=school,school=tutoring  
specialty_school;amenity=school,specialty=yes  
shoe_shining_service;amenity=shoe_shine  
bingo_hall;amenity=social_club  
pool_hall;amenity=social_club,club=sports,sport=pool  
social_and_human_services;amenity=social_facility  
assisted_living_facility;amenity=social_facility,social_facility=assisted_living
memory_care;amenity=social_facility,social_facility=assisted_living,for=dementia  
counseling_and_mental_health;amenity=social_facility,social_facility=counselling  
family_service_center;amenity=social_facility,social_facility=family_centre  
food_banks;amenity=social_facility,social_facility=food_bank
halfway_house;amenity=social_facility,social_facility=group_home  
personal_care_service;amenity=social_facility,social_facility=outreach  
foster_care_services;amenity=social_facility,social_facility=outreach,social_facility:for=children  
senior_citizen_services;amenity=social_facility,social_facility=senior_centre  
homeless_shelter;amenity=social_facility,social_facility=shelter,social_facility:for=homeless
beauty_and_spa;amenity=spa
medical_spa;amenity=spa,healthcare=yes  
turkish_baths;amenity=spa,spa=hamam  
storage_facility;amenity=storage  
strip_club;amenity=stripclub
recording_and_rehearsal_studio;amenity=studio,studio=music  
radio_station;amenity=studio,studio=radio  
studio_taping;amenity=studio,studio=recording  
movie_television_studio;amenity=studio,studio=television  
taxi_service;amenity=taxi  
water_taxi;amenity=taxi,taxi=boat  
town_car_service;amenity=taxi,taxi=chauffeur  
limo_services;amenity=taxi,taxi=limousine  
pedicab_service;amenity=taxi,taxi=pedicab  
public_phones;amenity=telephone
theatre;amenity=theatre
theatres_and_performance_venues;amenity=theatre,amenity=concert_hall
circus;amenity=theatre,theatre:genre=circus
comedy_club;amenity=theatre,theatre:genre=comedy
dinner_theatre;amenity=theatre,theatre:genre=dinner  
music_venue;amenity=theatre,theatre:genre=music  
opera_and_ballet;amenity=theatre,theatre:genre=opera
ticket_sales;amenity=ticket_office  
railway_ticket_agent;amenity=ticket_office,transport=railway  
public_restrooms;amenity=toilets  
public_toilet;amenity=toilets,access=yes
town_hall;amenity=townhall
civil_examinations_academy;amenity=training,training=civil_service  
computer_coaching;amenity=training,training=computer  
cooking_classes;amenity=training,training=cooking  
ems_training;amenity=training,training=EMS  
firearm_training;amenity=training,training=firearms  
first_aid_class;amenity=training,training=first_aid  
food_safety_training;amenity=training,training=food_safety  
free_diving_instruction;amenity=training,training=freediving  
golf_instructor;amenity=training,training=golf  
kiteboarding_instruction;amenity=training,training=kitesurfing  
paddleboarding_lessons;amenity=training,training=paddleboarding  
parenting_classes;amenity=training,training=parenting  
photography_classes;amenity=training,training=photography  
scuba_diving_instruction;amenity=training,training=scuba_diving  
self_defense_classes;amenity=training,training=self_defense  
vocal_coach;amenity=training,training=singing  
ski_and_snowboard_school;amenity=training,training=skiing  
speech_training;amenity=training,training=speech  
sports_and_fitness_instruction;amenity=training,training=sports  
surfing_school;amenity=training,training=surfing  
swimming_instructor;amenity=training,training=swimming  
wine_tasting_classes;amenity=training,training=wine_tasting  
truck_stop;amenity=truck_stop  
law_schools;amenity=university,faculty=law  
medical_school;amenity=university,faculty=medicine  
pharmacy_schools;amenity=university,faculty=pharmacy  
veterinary_schools;amenity=university,faculty=veterinary  
college_university;amenity=university,isced:level=5
educational_research_institute;amenity=university,research=yes  
car_inspector;amenity=vehicle_inspection
rental_kiosks;amenity=vending_machine,vending=rentals  
veterinarian;amenity=veterinary
emergency_pet_hospital;amenity=veterinary,emergency=yes  
holistic_animal_care;amenity=veterinary,healthcare=alternative  
virtual_reality_center;amenity=video_arcade  
airport_lounge;amenity=waiting_room
hazardous_waste_disposal;amenity=waste_disposal,waste=hazardous  
carousel;attraction=carousel
toll_stations;barrier=toll_booth
national_park;boundary=protected_area
wildlife_sanctuary;boundary=protected_area,protect_class=4  
state_park;boundary=protected_area,protect_class=5  
apartments;
low_income_housing;building=apartments,social_housing=yes  
university_housing;building=dormitory  
skyscraper;building=skyscraper  
temple;building=temple,amenity=place_of_worship
campus_building;building=university  
warehouses;building=warehouse
landmark_and_historical_building;
nudist_clubs;club=nudism
atelier;craft=artist
musician;craft=artist,genre=music  
apiaries_and_beekeepers;craft=beekeeper
blacksmiths;craft=blacksmith  
boat_builder;craft=boatbuilder  
bookbinding;craft=bookbinder  
brewery;craft=brewery
cidery;craft=brewery,brewery=cidery  
bathroom_remodeling;craft=builder  
carpenter;craft=carpenter
refinishing_services;craft=carpenter,service=refinishing  
caterer;craft=caterer
chimney_service;craft=chimney_sweep  
chimney_sweep;craft=chimney_sweeper
distillery;craft=distillery
electrician;craft=electrician
electronics_repair_shop;craft=electronics_repair
washer_and_dryer_repair_service;craft=electronics_repair,electronics=appliance  
aircraft_repair;craft=engineer
engraving;craft=engraver  
laser_cutting_service_provider;craft=engraver,engraver=laser  
farrier_services;craft=farrier  
flooring_contractors;craft=floorer
gardener;craft=gardener
glass_blowing;craft=glassblower  
glass_and_mirror_sales_service;craft=glaziery  
goldsmith;craft=goldsmith  
gunsmith;craft=gunsmith  
handyman;craft=handyman  
insulation_installation;craft=insulation
jewelry_and_watches_manufacturer;craft=jeweller  
jewelry_repair_service;craft=jeweller,service=repair  
leather_products_manufacturer;craft=leather_worker  
farm_equipment_repair_service;craft=mechanic  
hydraulic_repair_service;craft=mechanic,mechanic=hydraulic  
lawn_mower_repair_service;craft=mechanic,mechanic=lawn_mower  
ironworkers;craft=metalworker  
metal_plating_service;craft=metalworker,metalwork=plating  
powder_coating_service;craft=metalworker,service=powder_coating  
musical_instrument_services;craft=musical_instrument_repair  
piano_services;craft=musical_instrument_repair,instrument=piano  
painting;craft=painter
photographer;craft=photographer
videographer;craft=photographer,photographer=video  
pet_photography;craft=photographer,subject=pets  
real_estate_photography;craft=photographer,subject=real_estate  
plasterer;craft=plasterer
plastic_injection_molding_workshop;craft=plastic_worker  
plumbing;craft=plumber
screen_printing_t_shirt_printing;craft=printer,printer=screen_printing  
roofing;craft=roofer
knife_sharpening;craft=sharpener  
sign_making;craft=signmaker  
vehicle_wrap;craft=signmaker,signmaker=vehicle_wrap  
